ID,NO_CIVIQUE,RUE,ESSENCE_FR,ESSENCE_LATIN,DHP,ETAT,PROPRIETE,Latitude,Longitude,Coord_X,Coord_Y,DATE_PLANTATION,DATE_RELEVE
2330,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,54,Entier,Terrain municipal,45.73717,-73.44555,309069.9461,5066371.4598,,2017-06-21 13:00:23
2160,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,53,Entier,Terrain municipal,45.73843,-73.44257,309301.5875,5066511.6187,,2017-06-21 13:00:23
2141,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,39,Entier,Terrain municipal,45.73839,-73.4426,309299.1081,5066507.6025,,2017-06-21 13:00:23
2140,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,42,Entier,Terrain municipal,45.73842,-73.44264,309296.27,5066510.9733,,2017-06-21 13:00:23
1305,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,34,Entier,Terrain municipal,45.73861,-73.44218,309331.6479,5066531.7102,,2017-06-21 13:00:23
1266,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,79,Entier,Terrain municipal,45.73283,-73.44758,308912.421,5065889.3049,,2017-06-21 13:00:23
1248,396,NOTRE-DAME,Saule � feuilles de p�cher,Salix amygdaloides,27,Entier,Terrain municipal,45.73838,-73.44267,309293.6369,5066506.6394,,2017-06-21 13:00:23
1244,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,48,Entier,Terrain municipal,45.73834,-73.44269,309292.5099,5066502.4285,,2017-06-21 13:00:23
1229,396,NOTRE-DAME,Orme rouge,Ulmus rubra,14,Entier,Terrain municipal,45.73279,-73.44751,308917.8512,5065884.7558,,2017-06-21 13:00:23
1217,396,NOTRE-DAME,Peuplier delto�de,Populus deltoides,54,Entier,Terrain municipal,45.73838,-73.44269,309292.4792,5066506.5779,,2017-06-21 13:00:23
